USER_ID	FRIEND_ID
1	2
1	24
1	39
1	41
1	46
1	60
1	62
1	65
1	84
1	87
2	1
2	16
2	18
2	31
2	32
2	48
2	51
2	53
2	62
2	74
2	88
2	98
2	100
3	37
3	46
3	47
3	51
3	62
3	94
3	99
4	80
5	7
5	10
5	13
5	24
5	27
5	39
5	46
5	48
5	86
5	87
6	12
6	40
6	46
6	90
7	5
7	71
8	13
8	34
8	54
8	63
8	72
8	80
8	98
9	10
9	21
9	35
9	51
9	52
10	5
10	9
10	16
10	30
10	41
10	53
10	81
10	84
10	86
11	41
11	49
11	53
11	72
11	83
11	85
11	94
12	6
12	41
12	51
12	84
12	96
12	99
13	5
13	8
13	81
13	92
14	23
14	59
14	63
14	74
15	25
15	31
15	34
15	41
15	46
16	2
16	10
16	20
16	51
16	54
16	62
16	70
16	71
16	96
16	100
17	38
17	41
17	46
17	51
17	56
18	2
18	74
18	97
19	23
19	33
19	49
19	88
19	97
20	16
20	23
20	51
20	59
21	9
21	23
21	34
21	44
21	80
21	83
21	86
21	90
22	47
22	54
23	14
23	19
23	20
23	21
23	26
23	30
23	53
23	78
23	81
24	1
24	5
24	34
24	91
24	94
25	15
25	51
25	69
25	92
26	23
26	92
27	5
27	61
28	96
28	98
29	40
29	54
30	10
30	23
30	53
30	63
30	70
30	80
30	88
31	2
31	15
32	2
32	69
32	80
33	19
33	38
33	39
33	41
33	58
33	73
33	99
34	8
34	15
34	21
34	24
34	45
34	48
34	53
34	95
34	96
34	97
35	9
35	57
35	60
35	61
35	99
36	48
36	62
37	3
37	69
37	86
37	87
38	17
38	33
38	40
38	41
38	49
38	59
38	81
39	1
39	5
39	33
40	6
40	29
40	38
40	65
40	88
41	1
41	10
41	11
41	12
41	15
41	17
41	33
41	38
41	57
41	76
41	86
41	89
41	96
41	100
42	51
43	51
43	53
43	59
44	21
44	50
44	54
44	63
44	68
44	80
44	87
44	91
45	34
45	83
45	87
45	93
46	1
46	3
46	5
46	6
46	15
46	17
46	48
46	62
46	72
46	83
47	3
47	22
47	47
47	54
48	2
48	5
48	34
48	36
48	46
48	55
48	82
48	87
48	93
49	11
49	19
49	38
49	63
49	87
49	96
50	44
51	2
51	3
51	9
51	12
51	16
51	17
51	20
51	25
51	42
51	43
51	81
52	9
52	74
52	95
53	2
53	10
53	11
53	23
53	30
53	34
53	43
53	59
53	60
53	62
53	73
53	81
54	8
54	16
54	22
54	29
54	44
54	47
54	72
54	84
54	91
55	48
55	60
56	17
56	63
56	67
56	74
56	77
56	82
57	35
57	41
57	76
57	82
57	91
58	33
58	83
59	14
59	20
59	38
59	43
59	53
59	77
59	79
59	92
60	1
60	35
60	53
60	55
60	63
60	86
60	90
61	27
61	35
61	94
61	98
61	100
62	1
62	2
62	3
62	16
62	36
62	46
62	53
62	74
62	83
62	98
62	100
63	8
63	14
63	30
63	44
63	49
63	56
63	60
63	63
63	74
63	92
63	96
64	87
65	1
65	40
67	56
67	69
67	70
67	85
67	86
67	96
68	44
68	96
69	25
69	32
69	37
69	67
69	89
70	16
70	30
70	67
70	94
71	7
71	16
71	79
72	8
72	11
72	46
72	54
72	99
73	33
73	53
73	87
73	100
74	2
74	14
74	18
74	52
74	56
74	62
74	63
74	95
75	93
76	41
76	57
77	56
77	59
77	84
78	23
78	99
79	59
79	71
80	4
80	8
80	21
80	30
80	32
80	44
80	85
80	100
81	10
81	13
81	23
81	38
81	51
81	53
81	90
82	48
82	56
82	57
82	93
83	11
83	21
83	45
83	46
83	58
83	62
83	97
84	1
84	10
84	12
84	54
84	77
84	99
85	11
85	67
85	80
85	87
86	5
86	10
86	21
86	37
86	41
86	60
86	67
86	88
87	1
87	5
87	37
87	44
87	45
87	48
87	49
87	64
87	73
87	85
87	99
88	2
88	19
88	30
88	40
88	86
88	97
89	41
89	69
90	6
90	21
90	60
90	81
90	97
91	24
91	44
91	54
91	57
92	13
92	25
92	26
92	59
92	63
92	100
93	45
93	48
93	75
93	82
93	96
94	3
94	11
94	24
94	61
94	70
95	34
95	52
95	74
96	12
96	16
96	28
96	34
96	41
96	49
96	63
96	67
96	68
96	93
97	18
97	19
97	34
97	83
97	88
97	90
97	97
97	99
98	2
98	8
98	28
98	61
98	62
98	100
99	3
99	12
99	33
99	35
99	72
99	78
99	84
99	87
99	97
99	100
100	2
100	16
100	41
100	61
100	62
100	73
100	80
100	92
100	98
100	99
